"","d_r","rec_type","id","sex","age","race","Cons","Empower","NACH","LOC","teamwork","g","perf_fnl"
"107","","SCALE1","297720",1,23,1,4.33333333333333,3.85714285714286,2.3,3.66666666666667,4.33333333333333,8,7.77777777777778
"108","","SCALE1","271543",1,44,1,3.66666666666667,3.85714285714286,2.6,3.33333333333333,3.77777777777778,4.5,7.8
"109","","SCALE1","287388",1,50,2,4,3.71428571428571,2.2,2.88888888888889,3.44444444444444,6,8
"110","","SCALE1","302640",1,38,1,4.16666666666667,3.28571428571429,2.6,3.44444444444444,3.22222222222222,4.5,8
"111","","SCALE1","291627",1,26,1,3.5,4.42857142857143,2.1,3.44444444444444,3.77777777777778,8,8
"112","","SCALE1","284880",1,22,1,4,3.71428571428571,2.4,3.66666666666667,3.22222222222222,9,8
"113","","SCALE1","292787",2,22,1,4.33333333333333,3.85714285714286,2.8,3.88888888888889,4.22222222222222,5.5,8.22222222222222
"114","","SCALE1","290341",1,50,2,3.66666666666667,3.57142857142857,2.3,3.22222222222222,3.66666666666667,5,8.5
"115","","SCALE1","289869",2,25,1,4.16666666666667,4,2.1,3.77777777777778,4,9,8.625
"116","","SCALE1","279506",1,45,1,4.5,4.85714285714286,2.6,3.88888888888889,4.44444444444444,7,8.75
"117","","SCALE1","288546",1,41,1,4.33333333333333,3,2.3,3.77777777777778,3.66666666666667,8.5,9
"118","","SCALE1","293823",1,26,1,4.5,4.14285714285714,2.7,4,4.11111111111111,9.5,9
"119","","SCALE1","284643",1,38,1,3.83333333333333,3.71,2.1,2.14,4.55555555555556,7.5,9.125
"120","","SCALE1","272760",2,30,2,5,4.15,2.4,3.55555555555556,4,6.5,9.25
